Artist,Song Name,Song Rating,Song Hits,Page Type,Difficulty,Key,Capo,Tuning
Taylor Swift,Safe And Sound,"1,666",4267528,Chords,novice, Em, 5th fret, E A D G B E
Bright Eyes,First Day Of My Life,"4,936",4256284,Chords,novice, C, 4th fret, E A D G B E
The Beatles,Blackbird ,"2,334",4252301,Tab,intermediate, G,No Capo, E A D G B E
Tracy Chapman,Fast Car ,"3,133",4244311,Chords,intermediate, D, 2nd fret, E A D G B E
Coldplay,Yellow ,"7,914",4221597,Chords,novice, G, 4th fret, E A D G B E
Metallica,Nothing Else Matters ,"1,864",4194130,Tab,advanced,Db,No Capo, E A D G B 
Simon & Garfunkel,The Sound Of Silence ,"9,500",4185983,Chords,novice, Ebm, 6th fret, E A D G B E
Sia,Chandelier ,"3,293",4180299,Chords,novice, F, 1st fret, E A D G B E
Taylor Swift,I Knew You Were Trouble,"1,512",4178763,Chords,novice,Db, 4th fret, E A D G B E
Queen,Bohemian Rhapsody,"1,677",4165302,Chords,advanced, Bb,No Capo, E A D G B E
One Direction,Little Things ,"2,265",4110615,Chords,novice, G,No Capo, E A D G B E
Red Hot Chili Peppers,Californication,"3,487",4078628,Chords,intermediate, Am,No Capo, E A D G B E
Bruno Mars,The Lazy Song,368,4076879,Chords,intermediate,Db,No Capo, E A D G B 
Jason Mraz,Im Yours ,"1,010",4072749,Chords,intermediate, B,No Capo, E A D G B E
Sam Smith,Too Good At Goodbyes,"3,632",4015360,Chords,novice, Dm, 5th fret, E A D G B E
Justin Bieber,Baby,576,4003706,Chords,intermediate,Db, 2nd fret, E A D G B E
Taylor Swift,Blank Space,"1,835",3986839,Chords,intermediate, F, 3rd fret,E A D G B E
Journey,Dont Stop Believin,"3,179",3984418,Chords,novice, E,No Capo, E A D G B E
Aerosmith,I Dont Want To Miss A Thing,"1,012",3962737,Chords,novice, D,No Capo, E A D G B E
Lady A (Lady Antebellum),Need You Now,"1,692",3957661,Chords,novice, F, 4th fret, E A D G B E
Red Hot Chili Peppers,Californication,367,3943207,Tab,intermediate, Am,No Capo, E A D G B E
Ed Sheeran,Give Me Love ,"2,315",3935868,Chords,novice, Am, 2nd fret, E A D G B E
Bastille,Pompeii ,"4,449",3923438,Chords,novice, F#m, 2nd fret, E A D G B E
Linkin Park,Numb,"2,918",3911757,Chords,intermediate, F#m, 2nd fret, E A D G B E
The Beatles,Hey Jude ,"5,026",3899368,Chords,intermediate, D, 3rd fret, E A D G B E
Bruno Mars,The Lazy Song ,"1,316",3877516,Chords,intermediate, B, 4th fret, E A D G B E
Maroon 5,Payphone ,340,3861885,Chords,intermediate,Db, 4th fret, E A D G B E
Death Cab for Cutie,I Will Follow You Into The Dark,"1,028",3852542,Chords,intermediate,Db,No Capo, E A D G B 
The Beatles,Here Comes The Sun ,"3,041",3815279,Tab,intermediate, D, 7th fret, E A D G B E
Lifehouse,You And Me,648,3786347,Chords,intermediate,Db,No Capo, E A D G B 
Johnny Cash,Ring Of Fire,"4,536",3774968,Chords,intermediate, G,No Capo, E A D G B E
Adam Levine,Lost Stars,725,3774480,Chords,intermediate, F,No Capo, E A D G B E
Hozier,Take Me To Church Acoustic,"4,329",3737756,Chords,novice, Em,No Capo, E A D G B E
Bill Withers,Aint No Sunshine,"8,640",3727607,Chords,intermediate, Am,No Capo, E A D G B E
Metallica,One,467,3704340,Tab,intermediate, Bm,No Capo,E A D G B E
Green Day,Good Riddance Time Of Your Life ,"2,073",3699775,Tab,intermediate, Em,No Capo, E A D G B E
Jimi Hendrix,Purple Haze,"1,051",3689739,Tab,intermediate, Ebm,No Capo, E A D G B E
Pixies,Where Is My Mind,"2,485",3690317,Chords,intermediate, E,No Capo, E A D G B E
John Denver,Take Me Home Country Roads,"10,284",3681662,Chords,intermediate, A, 2nd fret, E A D G B E
Camila Cabello,Havana,"1,580",3656706,Chords,novice, Em, 3rd fret, E A D G B E
Mumford & Sons,I Will Wait ,"2,859",3614181,Chords,novice, Db, 1st fret, E A D G B E
Israel Kamakawiwo'ole,Over The Rainbow What A Wonderful World ,"1,192",3596698,Chords,intermediate,Db, 5th fret, E A D G B E
Carly Rae Jepsen,Call Me Maybe,505,3594314,Chords,intermediate, G,No Capo, E A D G B E
Taylor Swift,Back To December ,"1,512",3588272,Chords,novice, D,No Capo, E A D G B E
David Bowie,Space Oddity,"10,957",3584734,Chords,intermediate, C,No Capo, E A D G B E
Nirvana,Smells Like Teen Spirit,"1,477",3568122,Chords,intermediate, E, 1st fret, E A D G B E
Eric Clapton,Tears In Heaven,"2,794",3552126,Chords,intermediate, A,No Capo, E A D G B E
Nirvana,Come As You Are,625,3549516,Tab,intermediate, E,No Capo, D G C F A D
Meghan Trainor,Like Im Gonna Lose You ,"2,473",3525582,Chords,novice, C,No Capo, E A D G B E
AC/DC,Back In Black ,247,3508269,Tab,intermediate,Db,No Capo,E A D G B E
U2,With Or Without You,"1,988",3495529,Chords,intermediate, D,No Capo, E A D G B E
Taylor Swift,Everything Has Changed,"2,009",3488784,Chords,novice, D, 4th fret, E A D G B E
Charlie Puth,One Call Away,"3,195",3487862,Chords,intermediate, Db, 1st fret, E A D G B E
Jason Mraz,Im Yours Acoustic,337,3460890,Chords,intermediate,Db, 2nd fret, E A D G B E
Ed Sheeran,Lego House,"1,008",3454994,Chords,novice, B, 4th fret, E A D G B E
Metallica,Nothing Else Matters,"1,272",3452539,Chords,intermediate, Em,No Capo, E A D G B E
Red Hot Chili Peppers,Cant Stop,"1,212",3425172,Tab,intermediate, Em,No Capo, E A D G B E
America,A Horse With No Name,"3,336",3421027,Chords,intermediate, Em,No Capo, E A D G B E
Ed Sheeran,Photograph ,"2,933",3404035,Chords,novice, C, 4th fret, E A D G B E
Ed Sheeran,Happier,"5,444",3402456,Chords,novice, Am,No Capo, E A D G B E
Calum Scott,Dancing On My Own ,"4,519",3370573,Chords,novice, C, 1st fret, E A D G B E
Bruno Mars,Count On Me ,"3,769",3367695,Chords,intermediate, C,No Capo, E A D G B E
Joseph Vincent,Cant Take My Eyes Off You,"1,836",3365163,Chords,intermediate, Db, 1st fret, E A D G B E
Ed Sheeran,Castle On The Hill,"2,034",3364785,Chords,novice, D,No Capo, E A D G B E
Red Hot Chili Peppers,Californication ,"1,680",3356982,Tab,intermediate,Db,No Capo, E A D G B 
The Animals,House Of The Rising Sun Intro ,"1,292",3353796,Tab,intermediate, Am,No Capo, E A D G B E
Guns N' Roses,Sweet Child O Mine,536,3353211,Tab,intermediate, D,No Capo, Eb Ab Db Gb Bb Eb
Adele,Make You Feel My Love ,"4,082",3342575,Chords,intermediate, G, 3rd fret, E A D G B E
Chris Isaak,Wicked Game,"5,447",3343332,Chords,intermediate, Bm,No Capo, E A D G B E
Eagles,Take It Easy ,"5,794",3340740,Chords,novice, G,No Capo, E A D G B E
Misc Computer Games,Super Mario Brothers Theme ,"2,095",3336400,Tab,intermediate, Em,No Capo, E A D G B E
Christina Perri,A Thousand Years ,"2,744",3332492,Chords,novice,Db, 3rd fret, E A D G B E
Bob Marley,Three Little Birds,"3,402",3324944,Chords,intermediate, A,No Capo, E A D G B E
Metallica,The Unforgiven ,597,3309677,Tab,intermediate,Db,No Capo, E A D G B 
Passenger,Let Her Go ,"1,269",3302811,Chords,novice, G,No Capo, E A D G B E
AC/DC,Thunderstruck,918,3289419,Tab,intermediate, B,No Capo, E A D G B E
Poison,Every Rose Has Its Thorn,"3,095",3283053,Chords,intermediate, G,No Capo, Eb Ab Db Gb Bb Eb
Christina Perri,A Thousand Years,"1,874",3266520,Chords,novice, Bb, 3rd fret, E A D G B E
Radiohead,Creep,483,3257439,Tab,intermediate, G,No Capo,E A D G B E
Green Day,Wake Me Up When September Ends ,743,3242127,Chords,intermediate, G,No Capo, E A D G B E
Miley Cyrus,The Climb,466,3223025,Chords,intermediate,Db,No Capo, E A D G B 
The Beatles,Across The Universe,"3,062",3206672,Chords,novice, D,No Capo, E A D G B E
Labrinth,Jealous ,"1,410",3194729,Chords,intermediate, C, 1st fret, E A D G B E
Taylor Swift,We Are Never Ever Getting Back Together,796,3193983,Chords,novice, G,No Capo, E A D G B E
Natalie Imbruglia,Torn,946,3183932,Chords,intermediate, F,No Capo, E A D G B E
Virgoun,Surat Cinta Untuk Starla,377,3168175,Chords,intermediate, G,No Capo, E A D G B E
AC/DC,Back In Black ,"1,201",3154677,Tab,intermediate, E,No Capo, E A D G B E
Luis Fonsi,Despacito,"1,332",3137526,Chords,novice, Bm,No Capo, E A D G B E
Nirvana,Where Did You Sleep Last Night Acoustic ,"1,992",3128942,Chords,intermediate, E,No Capo, Eb Ab Db Gb Bb Eb
Chris Tomlin,How Great Is Our God,"1,226",3106842,Chords,intermediate, A, 2nd fret, E A D G B E
Bruno Mars,Count On Me,"1,841",3103245,Chords,novice, C,No Capo, E A D G B E
Avicii,Wake Me Up,"2,343",3103115,Chords,novice, Bm,No Capo, E A D G B E
Dire Straits,Sultans Of Swing ,925,3090938,Tab,intermediate,Db,No Capo, E A D G B 
John Denver,Take Me Home Country Roads ,"1,840",3070493,Chords,intermediate, A,No Capo, E A D G B E
Red Hot Chili Peppers,Scar Tissue ,709,3049091,Tab,intermediate,Db,No Capo, E A D G B 
The Killers,Mr Brightside,"4,202",3049394,Chords,intermediate, C#, 1st fret, E A D G B E
Creedence Clearwater Revival,Bad Moon Rising,"6,508",3041958,Chords,novice, D,No Capo, E A D G B E
Adam Sandler,Grow Old With You,"1,598",3039121,Chords,intermediate, A,No Capo,E A D G B E
Andmesh Kamaleng,Hanya Rindu,250,3029181,Chords,novice, G,No Capo, E A D G B E
Chuck Berry,Johnny B Goode ,800,3013481,Chords,intermediate, Bb,No Capo,E A D G B E
The Beatles,Yesterday ,623,3006889,Tab,intermediate, C,No Capo,E A D G B E
Misc Christmas,Jingle Bells,"1,820",3006177,Chords,novice, G,No Capo, E A D G B E
Coldplay,Fix You ,"1,444",3003446,Chords,intermediate,Db, 3rd fret, E A D G B E
Nirvana,Heart Shaped Box,955,3003626,Tab,intermediate, Ab,No Capo, Db Ab Db Gb Bb Eb
One Direction,What Makes You Beautiful,269,2999042,Chords,novice, E,No Capo, E A D G B E
Metallica,Seek And Destroy ,994,2995842,Tab,intermediate,Db,No Capo, E A D G B 
Counting Crows,Mr Jones,"3,196",2995123,Chords,intermediate, Am,No Capo, E A D G B E
Anda,Menghitung Hari 2 Acoustic,155,2982267,Chords,intermediate, Dm,No Capo, E A D G B E
Vance Joy,Riptide,"7,938",2980128,Ukulele,novice, Bbm, 1st fret, G C E A
Judy Garland,Have Yourself A Merry Little Christmas,"3,181",2977817,Chords,intermediate, G,No Capo, E A D G B E
Owl City,Fireflies,"1,645",2976329,Chords,intermediate,Db,No Capo,E A D G B E
The Calling,Wherever You Will Go,845,2969859,Chords,intermediate, D, 2nd fret, E A D G B E
Misc Soundtrack,A Star Is Born - Always Remember Us This Way,"6,629",2968317,Chords,novice, C,No Capo, E A D G B E
Adele,Rolling In The Deep ,"2,262",2966850,Chords,novice, Cm, 3rd fret, E A D G B E
Ellie Goulding,Your Song ,"1,961",2961938,Chords,novice, Em, 3rd fret, E A D G B E
Parokya ni Edgar,Harana,303,2954789,Chords,intermediate, G,No Capo, E A D G B E
Coldplay,Fix You ,"2,837",2952729,Chords,intermediate, C, 3rd fret, E A D G B E
Michael Jackson,Beat It,705,2949345,Tab,intermediate, Em,No Capo, Eb Ab Db Gb Bb Eb
Sam Smith,Stay With Me ,955,2938500,Chords,novice, C,No Capo, E A D G B E
Bryan Adams,Summer Of 69,"2,821",2915196,Chords,novice, D,No Capo, E A D G B E
Eagle-Eye Cherry,Save Tonight,"1,288",2914070,Chords,intermediate, Am,No Capo, E A D G B E
One Direction,Night Changes,"2,450",2906808,Chords,novice, Ab, 1st fret, E A D G B E
Lana Del Rey,Summertime Sadness,"2,155",2903394,Chords,intermediate, F, 4th fret, E A D G B E
Toto,Africa,"1,650",2900614,Chords,intermediate, B,No Capo, E A D G B E
Alan Walker,Faded,"2,147",2884267,Chords,intermediate, Am, 6th fret, E A D G B E
Wham!,Last Christmas,"1,456",2874885,Chords,novice, D,No Capo, E A D G B E
Darius Rucker,Wagon Wheel,"6,627",2869429,Chords,novice, G, 2nd fret, E A D G B E
OneRepublic,Apologize,"2,635",2846214,Chords,novice, Cm, 3rd fret, E A D G B E
The Rolling Stones,Paint It Black,483,2844045,Tab,intermediate,Db, 3rd fret, E A D G B E
Adele,All I Ask,"1,274",2838294,Chords,intermediate, C, 4th fret, E A D G B E
Justin Bieber,Sorry,"1,027",2815778,Chords,novice, F, 3rd fret,E A D G B E
Kodaline,High Hopes ,"2,233",2815932,Chords,intermediate, C, 4th fret, E A D G B E
Misc Praise Songs,Amazing Grace,"1,438",2815631,Chords,intermediate, D,No Capo, E A D G B E
Glen Hansard,Falling Slowly,"2,151",2809873,Chords,novice, C,No Capo, E A D G B E
Adele,Set Fire To The Rain ,"1,826",2808381,Chords,intermediate, Am, 5th fret, E A D G B E
Red Hot Chili Peppers,Under The Bridge,344,2802922,Chords,intermediate, E,No Capo, E A D G B E
Jason Mraz,Im Yours ,246,2796403,Tab,novice,Db,No Capo,E A D G B E
The Beatles,While My Guitar Gently Weeps,"4,057",2796444,Chords,intermediate, Am,No Capo, E A D G B E
John Denver,Leaving On A Jet Plane,"3,502",2795382,Chords,intermediate, G,No Capo, E A D G B E
